,text,label
25,I kinda feel bad leaving her alone  to deal with this! #nlstorm #nlwx https://t.co/TFwTiwkDz1,
26,I can still see the car ! #nlweather #snow #snowmaggedon2020 #Newfoundland  #storm It’s not over yet. https://t.co/bnzcTTP8gD,
27,We may have to use the back door for the next few months. #nlwx https://t.co/4saOx4z2aJ,
28,Wow. #snowmaggedon2020 is right. ❄️🌨🥶 https://t.co/YI6xgKShQz,
29,@BrianWalshWX The storm brought me a new door! #nlwx https://t.co/upSZQUqHKF,
30,The #blizzard in #Newfoundland is putting @DairyQueen to shame. https://t.co/eMkPRt2VM2,
31,I know where to store the bottles if we lose power #snowdoor #nlblizzard2020 #nlwx #staysafe #Newfoundland https://t.co/3m56ttumBg,
32,This is what happens when you're live on TV and there is a gust of 120 km/h! @VassyKapelos and @MurphTWN this is pu… https://t.co/IQX3yS4U33,
33,Just in case you thought I was exaggerating #nlblizzard2020 #nlwhiteout #twodaystoshovel https://t.co/0bU41Empvr,
34,"""Forcing reporter who got on the boss' bad side into a hurricane/snowstorm"" remains BY FAR my favourite subset of t… https://t.co/gqatntmPwe",
36,@boom973 is what you need to be listening to on the Friday night before #snowmaggedon2020 hits!!!,
37,"#snowmaggedon2020 A chuckle to get you through! Tony from the Goulds, NL!! https://t.co/HapTuVcLQa",
38,'Video' I took of the road we live on. #nlwx #nlweather https://t.co/fqIJ9PBtpe,
39,"""The wind just blew me down.""
Um, here's a thought, when weather condition is this bad, have weather reporters INSI… https://t.co/d8kjKildVy",
40,"@Jolene_Grimes18 @fraser_brad Find the blarney stone

They got hot cider at the bar!!

#Newfoundland 
#MotherNature",
41,Out plowing at 2 PM today and the snow was up to the door handles on a F350! I can only imagine how much snow we ar… https://t.co/6wmfPKdN7Y,
42,"Adam Schiff is tough
they don't like tough
Nancy Pelosi is tough
they don't like tough
So they try to demonize

Jus… https://t.co/Hx4Fm5drEh",
43,Tonight's #stormageddon2020 storm beer is a @NinepennyBrew Long Pond Blonde. 🍺 https://t.co/N0PTA2XRkj,
44,"I can’t get out of my door...
#nlblizzard2020 #nlwx #Newfoundland https://t.co/SsUhzPIg0x",
45,"@JimGaffigan Hey can't wait to see the show on Sunday in St John's, got my Tauntaun all saddled up!!!  #nlwx #snowmaggedon2020",
46,@winemaker1960 😱😱😱 #StateOfEmergency #nlstorm,
49,"Not every hero wears a cape...
#StateofEmergency 
#nlblizzard2020 
#nlstorm 
#FirstResponders 🇨🇦 https://t.co/b79LNXBhtq",
50,Some weather thing just popped up on my phone - 40 per cent chance of snow.  Crazy understatement. #nlwx @SaltWireNetwork,
51,Where ever you are be safe.  Cold...#snowmaggedon2020,
52,To all of my #Newfoundland friends please stay warm and safe 💗💗,
53,And another one. #nlwx https://t.co/pqE5d59NeE,
55,Hoping my friends in NL aren’t running out of rum during #nlblizzard2020,
56,As a person who suffers from headaches &amp; migraines incl. and esp. due to barometric pressure and weather fluctuatio… https://t.co/DWsBRqpxnX,
57,Bit blustery round conception bay south Seal Cove #MorganHouse1840 #snowmaggedon2020 #nlstorm #blizzard #nlwhiteout… https://t.co/inZOKkkFQ5,
58,What’s all y’all’s plans for surviving/thriving during #snowmaggedon2020?,
59,"I knew it would be bad...could never imagine the amount of snow...
 #nlwx",
60,Played power outage roulette that paid off with enough soup and caramel corn to last the night #nlwx #nlbaking… https://t.co/O3SJNYbxNx,
61,Just saw 2 folks walking up Torbay Rd in front of Sobey’s/North Atlantic.  Casual stroll I spose #nltraffic,
62,"@scottnlevac Thanks friends, still hanging on #nlblizzard2020 https://t.co/QzgKuI0sH6",
63,Mom and Dad are zen in the #nlwx storm. https://t.co/xwCuTsp0LI,
64,@weathernetwork #stjohnsnl #nlblizzard2020 #nlwx #nltraffic https://t.co/JQwT6wIsYb,
65,11 am...4 pm...8 pm ❄ 😳 ❄ The amount of snowfall in this storm is EPIC! We may be able to dig out by April! 😱 #nlwx… https://t.co/ydlV8GSSIv,
66,That's a BIG blizzard.  Check out the photos under the trend #nlblizzard2020 https://t.co/tdpVlejhxq,
67,Twiggy was just chased by geese. Probably sent by @Elev8Pro to keep us from the show next Saturday at the Paul Noel… https://t.co/i2rtGPawK3,
70,Will this be the throw back winter? #nlwx #Newfoundland https://t.co/TGYHUCTVk6,
71,Lonely plow driver just waved to me at corner of Freshwater Rd/Anderson. Feels apocalyptic but oddly calming....… https://t.co/fK1gYz829m,
73,Stay safe NL #Snowmageddon2020 #nlblizzard2020 #stormageddon2020 #nlstorm https://t.co/UuXn7TzLlb,
74,"FEATURED FRIDAY: 709 State of Mind Iceberg. 
https://t.co/UxbMZpv7ga
Designed by Newfoundlanders! Made for EVERYONE… https://t.co/lvHkz7KEZl",
75,Hey @JustinTrudeau can we get some help over here? #nlwx https://t.co/76GUmhpZDx,
76,"After seeing a plow get stuck and turn around first hand, I am so happy they pulled the plows off the street unless needed. Stay safe! #nlwx",
77,For some lighter dog-blizzard-tweeting today... #snowmaggedon2020 #Newfoundland @gtconway3d https://t.co/q8OumGcKRc,
78,To hell with flying cars or self-driving cars. I want a car that will scrape off its own snow. #Snowpocalypse2020 https://t.co/YC1cAOUUrb,
79,Wow...Craziest snowstorm ever! Stay safe!  #nlblizzard2020 #isitspringyet #nlstorm #nlwhiteout #blizzard https://t.co/91jPNgk4Za,
81,This was amazing to watch. Stay safe NL!!! #nlstorm https://t.co/RF9lPK3ti0,
82,Cripes I never hear the wind inside my house. And I just heard a creak upstairs. #nlwx @SaltWireNetwork,
83,"From sea to sea, it's cold out there... #nlblizzard2020 #BCStorm #extremecold

Do you have your emergency kit ready… https://t.co/PHP7aKazpi",
85,"Newfoundland is going to have a sudden spike in population 9 months from now. 

#nlblizzard2020 #Newfoundland… https://t.co/QbHKEegT5R",
86,"To our NL neighbours in the East, we feel your pain.

#nlblizzard2020 

Stay warm,
Your Saskatchewan Friends https://t.co/U4qyhHCIZP",
87,This has never happened in the 10 years we have lived here! #nlwx #nlblizzard2020 #snowmaggedon2020 #nlweather https://t.co/Td84BCdHmB,
88,"Canada OR Oregon this is soooo true!
#oregon #snowday  #Snowpocalypse2020 #oregonlife #momlife #oregonsnow… https://t.co/vrmRZs8r3o",
89,"In this historic and treacherous storm, I've had an opportunity to get back in touch with an age old family traditi… https://t.co/Zv4Rsa6flU",
90,Do not try this at home. #snowmaggedon2020 #nlblizzard2020 https://t.co/LL2TgBf6wl,
92,"Power outage since 4pm today in Glenonan St (near old Bay Bulls Road).
Hope emergency department/forces keep eye on… https://t.co/ybkMSijw99",
93,"And yes this applies to your laptop, your dashcam, your extra backup batteries, even your car, mechanical or electr… https://t.co/BnZz5jqS7F",
94,"@BrianWalshWX @wavyoverwave It’s now become smow. All is lost (just kidding, Brian). #nlblizzard2020",
95,It's blowing that hard here that Clarenville is likely to be relocated on the west coast of the island tomorrow mor… https://t.co/35XMcJ6Q0G,
96,"So I don't know at what point the wind changed, but we went from an entirely clear door to snow up to the height of… https://t.co/ktYDqzyyNR",
97,"great moments in Canadian broadcasting.

#nlstorm #nlblizzard2020 #MeanwhileInCanada #nlwx https://t.co/vkrFDB35Pa",
98,Je-sus #nlstorm #nlwx #blizzard #snowmaggedon2020 #nlblizzard2020 https://t.co/C4OFkhGGDW,
99,Holy wind in #Goulds! #nlwx #nlblizzard2020 #stormageddon2020 #nlstorm https://t.co/RdtVAUNcRE,
100,"Waist high drift on one side of the house, only a foot on the other #nlwx https://t.co/hoRwMSn7Xj",
101,This door is above ground! #nlwx #nlblizzard2020 @weathernetwork https://t.co/NVB59Ilzsm,
102,"#Alberta: ""Damn, it's cold!""

#Ontario: ""15cm's of snow?! SNOWMAGEDDON!""

#Newfoundland: https://t.co/uZhWOQ47GS",
103,"I’ve in some pretty intense #storms on #Baffin Island, Greenland and on the #Arctic ocean, but this one is the stro… https://t.co/EPuJ5CQmVc",
104,Our hearts go out to all in the #nlblizzard2020.  Stay strong and safe!!!,
105,We won’t be using this exit anytime soon. #snowdoor #snowmaggedon2020 #nlblizzard2020 #stormageddon2020 https://t.co/NHpeE1NGjB,
106,Stay safe Newfoundlanders!  #Newfoundland #CanadaStrong https://t.co/gBqr1V38or,
107,#GraceandFrankie season 6 released during #snowmaggedon2020 thanks universe :),
108,Whoa. Completely buried in snow. Stay safe NL. #nlwhiteout https://t.co/lFvndfK43P,
109,Thematically appropriate storm jam. #nlwx https://t.co/k9XE9xde9h,
110,Wow.  Stay safe Newfoundlanders - take good care  🇨🇦 #nlwx https://t.co/BfHPlwtJKW,
111,"Welp....since the #Snowpocalypse2020 is quickly upon us, I can watch all my new Netflix shows.",
112,"@CP24 I probably will stay in on #Saturday and, if I do go out this  weekend, it will likely be on #Sunday. #yyzwx… https://t.co/meyWdU5EF6",
113,Hope everyone in #nlblizzard2020 is safe 🙌 https://t.co/GGsy564xW1,
114,"That’s not a snowdrift, THIS is a snowdrift! #nlwx https://t.co/qpl9huC0kH",
115,"I have taken a few measurements at St. John's east. 

Very difficult to get a good measurement with high drifting,… https://t.co/aJcvS0KhVu",
116,@ctrain_nl This is the type of quality content I come to #nlwx for.  Kudos.,
117,"Never mind the New Year's baby being on the cover of The Herald. It should be this kiddo.

#nlblizzard2020 #nlwx… https://t.co/XWJLLKrs1i",
118,Just went out to clear my propane fireplace exhaust. Standing on a drift here on my front lawn. The dark grey bubbl… https://t.co/SIee9uCWsA,
119,"Can't see out through my front door at all, can't see the end of my driveway as visibility outside is zero. Wind is… https://t.co/FQiy8mx6Ws",
120,#nlblizzard2020 #nlstorm 👇🏻 look at the winds... the gusts are Cat 4 hurricane equivalent 😳 https://t.co/JjFbiMJAdg,
121,Wicked...#stormageddon2020 #nlwx https://t.co/6Utovt8lZx,
122,Our province will make you look like a fool every time. #nlwx #nlblizzicane #snowmaggedon2020 #snowblows https://t.co/sdScqQOQtl,
123,"St. John’s cab drivers advice to fellow residents on As It Happens right now: “if you don’t need to be out, stay ho… https://t.co/2eiZBL14pN",
124,Two amazing videos in one day from @weathernetwork! @MurphTWN is killing it! #thanksforthelaughs #snowmaggedon2020 https://t.co/WpBd7r0Whi,
125,Second floor of a house in Kenmount Terrace. This is incredible. #snowmaggedon2020 #nlblizzard2020 #nlwx https://t.co/MqqEkH3NRg,
126,Holy cow! #nlblizzard2020 https://t.co/ZAEnGGYcji,
128,.. tie to the other side of the harbour.. #nlwx #snowmaggedon2020 https://t.co/HVci5lUZre,
129,"All jokes aside;

With all this weather, I'm really worried about anyone today looking for health care.

I hope you… https://t.co/4ybYARLxF1",
130,"Well Barbie, we're just getting started. #nlwx https://t.co/ws6w0SOPxS",
131,My lovely front door #nlwx https://t.co/pPA0Cp2EeP,
132,Just a normal day on the east coast. #nlblizzard2020 https://t.co/Z0ZosStiqp,
133,"I don't care how many snow storms you've been through that's too much snow! Send plows, salt, shovels, skidoos, sno… https://t.co/LbzN0rrmA7",
134,Hard to tell but my Chev Equinox is under here #nlblizzard2020 #snowmaggedon2020 #dudewheresmycar https://t.co/Xrjl1O0nVR,
135,@CBCAlerts Career highlight lol! Gusts of 120 km/hr while standing in a snowbank. #nlwx,
136,#blizzard #stormageddon2020 #nlweather #nlblizzard2020 #wind is definitely strong and blowing a gale out there… https://t.co/AVFDZUu14y,
137,Today is the 4th snowiest January day on record in #StJohns: 55cm. #NLWx https://t.co/NYYuWBjCMU,
138,"Anyone else's walls noticeably flexing or is just me?

#nlwhiteout 
#nlwx",
139,About an hour ago we heard a few thuds on the side of the house. Looked out the window and saw a (now dead) pigeon… https://t.co/hvyNTVXmEz,
141,@CochraneCBC I've never seen anything like this before.. It's relentless #nlwx,
142,"The reports of the storm are unreal!  Seriously, I know Newfoundlanders are tougher than any of us other Canadians,… https://t.co/Nd3gifmxvh",
143,"Hey tweeps please Retweet! 
Your periodic reminder that your smartphone and smartwatch will freeze and brick if you… https://t.co/JoZkUajzcU",
144,@morganhoffman @ETCanada @GlobalTV I'll be watching assuming we still have power...just riding out #Snowmageddon #stormchips,
145,Current status: figuring out if I need to stock up for #snowmageddon this weekend or if it’s overblown. 🤔,
146,Near white to whiteout conditions have been persistent for about 10 hours now in Mount Pearl. #nlwx,
147,"Neighbour's mooring line broke this AM, so you do what you gotta do.

#nlwx #snowmaggedon2020 @IslandRooms https://t.co/XoqX0nhW4M",
148,Appropriate #snowstorm2020 @EddieSheerr #nlwx https://t.co/W2PgWhZDke,
149,Visibility officially ZERO at Gander #YQX. #nlwx https://t.co/A17NhQF8SP,
150,Weather guy in #Newfoundland determined to battle on... https://t.co/UwLuCOuclB,
151,"Thanks to Jeff Douglas and the folks of @cbcns who are keeping the radio special on the air, while we aim to get ou… https://t.co/gznLi2LAQl",
152,Hey St. John's friends. If you still have power in 150+ km/hr winds and 80+ cm of snow please tweet @nspowerinc. Na… https://t.co/kG438c0gPR,
153,Salute to the missus who turned up to the health sciences building in a skidoo deserves applause for being a true… https://t.co/12FnkyFLEE,
154,Text from the daughter: #snowmaggedon2020 https://t.co/zvj2fNyN2X,
155,#Newfoundland what’s going on ? #shareyourweather #snowmaggedon2020 #Snowpocalypse2020 #Snowmageddon #nlblizzard2020 https://t.co/HEA2iJcqgx,
156,Thanks to the 140km gusts my pot light tried to smash my bedroom window. Fun times climbing through the attic.… https://t.co/1lPDQSCXpd,
157,Wicked wind/storm in #Newfoundland https://t.co/1Y0I8ap0zX,
158,#snowmaggedon2020 continues. Good bye car. https://t.co/brLmWrWeNY,
159,"1pm, 3pm, 6pm, 8pm #nlwx #snowmaggedon2020 https://t.co/kqgYLRslir",
160,"@NatashaFatah @CBCNews Around 1pm today, before the wind really started. #nlblizzard2020 #nlstorm #snowmaggedon2020… https://t.co/D4ULZLSYgh",
161,St. John's residents are getting by better in a Category 2 snowicane than Toronto in 10-15cm... If the current cond… https://t.co/UPT2XOIZ4a,
162,@rocco_puppy #snowmaggedon2020 #snowstorm #Snowmageddon #snowday #Snowpocalypse2020 #SnowMan #Snow #WinterStorm… https://t.co/dg9bd7CuPu,
163,"Look at the bright side.  When the snow stops, townies can look forward to minus 24 wind chill for the shovel out. #nlwx",
164,Tried to get a picture of the blizzard in St. John's NL @weatherchannel @wunderground @TheSocialCTV @weathernetwork… https://t.co/43mx98NHO4,
165,@weathernetwork showing 157 km/hr winds in St.John’s with gusts of 236!!  @BrianWalshWX #stormageddon2020,
166,@weathernetwork #Paradise #nl #nlblizzard2020 #nlwx https://t.co/x2KmLUhBpX,
167,@BrianWalshWX @EddieSheerr No way is 157. March 2017 160khp we felt it. The house rocked. #nlwx,
168,"@jimmykimmel @JimmyKimmelLive I guess this may delay your move to Newfoundland.......

#Newfoundland… https://t.co/PqkjGhjCtD",
169,I’m not going out says Mollie #blizzard2020 #nlblizzard2020 #nlweather #mollie #ShareYourWeather https://t.co/5yHmStc8p4,
170,@PnPCBC @MurphTWN Yeah. Looks lovely... #Newfoundland https://t.co/jKI6lxjihs,
171,Holy Smokes! The amount of snow and wind is crazy! Hunker down Newfoundlanders it doesn’t look like it’s letting up… https://t.co/zMMQf4IFPl,
172,"""Mari-Mack's mother's making Mari-Mack BURY me... My mother's making me BURY Mari-Mac,"" said the #nlblizzard2020 to… https://t.co/vG7evuF4ap",
173,I tried walking with 2 of my colleagues from CBC to a nearby hotel around 3:30 this afternoon &amp; we couldn’t even ge… https://t.co/31bLC1SmRo,
174,Everyone in NL right now #nlwx https://t.co/v4VdUe9CAJ,
175,"@mtenbroek @Lyonaboot Oh my goodness! Crazy. 
Hope you and everyone in #Newfoundland stay safe.",
176,"It may have been an exercise in futility, but I shoveled the driveway anyway. #snowmaggedon2020 #myminnesota… https://t.co/sj5lIAdAT1",
177,Anyone on #nlwx or @cbcnl able to verify if a person got brought to the Health Science in labour on a snowmobile,
178,"To get to the hospital during a blizzard, a woman in labour arrived on a snowmobile.
#blizzard2020 #Newfoundland… https://t.co/ZA9y6ejyAT",
179,"looking out our window downtown #stjohns right now

#nlblizzard2020 #nlstorm https://t.co/Iojf7g3psM",
180,"Anyone who has been out to snow blow there driveway multiple times throughout the day today, it’s about time you gi… https://t.co/qcg23K2trI",
182,@DJDanielson Contemplating that same question over my second @CrownRoyal #Snowpocalypse2020,
183,"The cold never bothers me anyway.
Happy Friday ☺️ #snowmaggedon2020  @Richmond_BC @TheRichmondNews https://t.co/xPGQonv4JH",
184,Stay warm Kayla! #nlstorm #nlblizzard2020 https://t.co/ybTqbpRjAV,
185,"My god, this woman deserves a medal. #nlwx https://t.co/UmrIIZE6Pp",
186,"Holy Jumpings. Thoughts and prayers, @leigh_antle #nlwx https://t.co/KhxEiwq3YT",
187,The only way I can tell there is a house across the street are the porch lights.  #nlwx snowmaggeddon #snowstormnado https://t.co/4XTQidfcNC,
188,#snowmaggedon2020 @ East End https://t.co/LShhrbGX4x,
189,Nerves are shot 🥶🥶 #nlblizzard2020,
190,"Who knew? Turns out our new rescue cat, Hubert, is crazy about storm chips. #snowmaggedon2020 https://t.co/sWrFgq6eFg",
191,"Hey @EddieSheerr, wonder how we're comparing to the big bad Blizzard of '78 in the Northeastern states. We've got t… https://t.co/WocigTylHz",
192,@CarolineCBaxter St.John’s Newfoundland at 7:30 tonight. #nlwx https://t.co/OEOnNjXfuI,
195,State of emergency due to #Snowmageddon means no vehicles and plows pulled from roads. So woman in labour arrived a… https://t.co/9ifIGndRUY,
196,I could stand corrected but for those saying it's the worst storm ever seen... don't forget the tremendous devastat… https://t.co/jXiC6zwVBG,
197,Another important point re impact of current snow response protocol on pedestrians. #snowmaggedon2020 #snow https://t.co/ilXDFWJflW,
198,Stopped by the grocery store for some produce. Noticed that they were almost entirely out of bread and milk - a cle… https://t.co/rtEOxd78Ip,
202,Crews remain on scene. Wind and drifts are making it much more difficult. #nltraffic also thanks to… https://t.co/mRGaLF3C9H,
203,Listen to that wind!!!!!  #snowmaggedon2020 #nlwx https://t.co/A8Ws3xeTbK,
204,"There is rarely as tough as a Newfoundlander tough. 

Hurricane-force winds? Pshaw. 
75+ Cm of snow? Easy. 
Labour… https://t.co/d7cgMHZMPV",
205,The mother deserves the Order of Newfoundland and a lifetime supply of storm chips #nlwx https://t.co/i9QWuCIJA8,
206,This is the view from my living room. The black spot is the front passenger window of my car. 😳😳😳 And here is the s… https://t.co/Q3itav0mH7,
207,Love winter they said!! Not so much today! #snowmaggedon2020 https://t.co/h2CBRsJ3wn,
208,Getting very intense DT St. John's!  Winds are terrifying  #nlwx #nlblizzard2020  #nltraffic  #nlstorm… https://t.co/SXp18QVIIB,
209,"#nlblizzard2020 Stay warm  &amp; safe, Newfoundland. Bettin' just a few kitchen parties on the Rock tonight.  Enjoy the… https://t.co/OiqI19WYdR",
210,@BrianWalshWX @590VOCM #nlblizzard2020 firetruck stuck behind plow in paradise https://t.co/oZ5vSLqGHv,
211,The dogs are done in. Enough #nlwx https://t.co/Y9jn9Q15HK,
212,Wishing all our First Responders and Snow Plow operators a safe night in this blizzard! You are amazing!… https://t.co/O51U9YKA8f,
213,It’s going to be a chilly night. I am not looking forward to the morning. #nlblizzard2020 https://t.co/gi3DxWX2Qc,
214,The entire first floor of my neighbour’s house is covered by a snowdrift. It’s about 2 feet from the second storey… https://t.co/UViMQiBVee,
215,"If you make a baby tonight , it will eventually hatch and be able to bring you #stormbeers like mine are doing for me! #nlwx",
216,Not a bit of snow hitting our back door #snowdoor #nlwx https://t.co/4l6SSGmzg7,
217,"@mattmfuchs Philly suburbs. I've lived in Plymouth, NH and Grand Junction, CO. I've NEVER experienced anything like this. #nlwx",
218,@OneRepublic Yes after the #snowmaggedon2020 we have had this week,
220,I just spent 60 dollars on nuts and olives. I think I'm doing the #Snowpocalypse2020 thing wrong.,
221,"❄️❄️ CANCELLATIONS ❄️❄️

NEMHA have cancelled all slots at Capital Hyundai Arena tomorrow. (7am-9am &amp; 6:30pm-9:30pm) #nlwx",
222,"Not laughing anymore. The snow is piled up so hard against my door the doorbell actually just rang. Okay, I'm laugh… https://t.co/lySIapT8aP",
223,The view (or lack there of) out my window in Mount Pearl. Can't believe we still have power! #nlblizzard2020… https://t.co/Svp86ASYX9,
224,The snowdrifts are taller than us! #nlwx #nltraffic @NatashaFatah https://t.co/jdQRMXBFkj,
225,Wind whipping up big drifts here on Mt Carson #nlwx https://t.co/eRudbL1BhH,
227,"OK, the house just shifted. 

#blizzardofoz #nlwx
#stormageddon2020 #blizzard2020",
229,"#godguardthee 💥

But for real, stay safe pals! #nlwx https://t.co/EfuRlDhVE1",
230,Winds have been sustained over 100 km/h for the last 3 hours at St. John's International Airport. #nlwx #YYT https://t.co/EgdB2xH04N,
231,"the #Snowmageddon2020 is talking a harsh path ,
the wind speed is 150+ km/h and it’s gust is ~240 km/h with heavy s… https://t.co/tbv35dhz7k",
233,Amazing what happens in 4 hours when it comes to #weather #snow #Snowpocalypse2020 #nlwhiteout #stjohns @ABC… https://t.co/1kLFwfqsP7,
234,"Tough to get accurate measurements the last several hours due to high winds, drifts... Arcing power lines and tall… https://t.co/mk9rYCXDZ7",
236,Living 2 min drive from @stjohnsairport and there a steady rumble like a fighter jet is about ready to take off. Ma… https://t.co/Bahh2GGtuX,
237,@nlchristinaaa @MurphTWN Omg I saw this! You ok Chris? Be safe    #nlwx @PnPCBC #Snowmageddon2020,
239,Things are getting rough in Newfoundland... #nlstorm @MurphTWN https://t.co/yvDSZDxK4C,
241,"So crazy what is happening in #Newfoundland right now, half of my family lives there so I’m hoping that they’re all… https://t.co/JzPIVd1566",
242,"Notice to our staff, teachers and students: we will of course be closed until after the state of emergency has been… https://t.co/CQ3sCJbuUf",
243,When Canada's both East and West Coast get destroyed with snow. #BCStorm #nlstorm https://t.co/qqyGFurN1f,
244,"A raging tempest, #nlstorm #nlwx when the  air so white blew all day and night, covering the structures in the back… https://t.co/QbR8oQByoK",
245,"Fuck winter

#nlweather 
#nlwhiteout 
#nlwx https://t.co/dnz1AZ1y37",
246,Lights out in Portugal Cove. Hunkered down but time now. #nlwx #stormageddon2020 https://t.co/Xo2d2kB8Lk,
247,@a_brauweiler seeing reports of people seeing flashes. Is this more likely electric wires arcing or is there a poss… https://t.co/b7ZuD3xvKw,
248,Amazed that my power is still on! Hoping it’s a sign that the grid in my area is super and we won’t loose it! Stay… https://t.co/bMUjWW88X6,
249,"GENTLE REMINDER: If you live in the path of this storm and have anything delivered, you need to tip the driver at l… https://t.co/xiIoPM52D3",
250,Lightening? Wild night in the west end. What a crazy cyclonebombsomethingorother #nlwx https://t.co/8BePrSMbmv,
251,Meijer is crazy right now...empty shelves...lines to the back of the store (almost)!  You'd think we've never had s… https://t.co/xn2K6ujWOx,
252,Wind always makes me nervous too so I'd find Izzy's hugs comforting in winds like #Newfoundland's having today. Hop… https://t.co/j08I8L6Yxt,
254,This fire appears to be out now according to Mayor Gosine. #nltraffic #nlwx https://t.co/J6v9mTNr2X,
255,Did anyone else see lightning or a flash in the sky on the west end of town?? Or am I going crazy?? #nlwx,
256,@CP24 N&amp;L would love this #Newfoundland https://t.co/h41zIB9Vkb,
257,"@writer6211 It's unbelievable, I saw it on the news and following #nlstorm Do you think your power will go out?",
258,#nlblizzard2020 : Snow clearing in the metro St. John's area is temporarily suspended due to deteriorating conditio… https://t.co/Qy4FWBQHt1,
259,Today is the 8th snowiest day on record in #StJohns: 55cm. #NLWx https://t.co/LMIIYakWNQ,
260,I’m a bit disappointed we haven’t agreed on a name for this thing yet... maybe #dabomb2020 or #whiteoutnl. Thoughts?  #nlwx,
261,"Has your weather forecast ever told you that ""High Storm Surge levels and large waves are expected to impact the co… https://t.co/6C3fx3OXVq",
262,I will not bitch once concerning our weather this weekend. #MBStorm Not after seeing what's happening on the east c… https://t.co/z3RWR59rpU,
263,"""Ooh- I'm falling""
""I'm okay, the wind just blew me down"" 😂 

Hope you really are okay, @MurphTWN!
#nlblizzard2020… https://t.co/HDfVKX789b",
264,"Newfoundland finally said Screw it by’s, we’re all moving out west now. #nlstorm https://t.co/Fj42O5UYWu",
265,Proof that womxn are strong as hell 💪🏼💪🏼💪🏼 #nlwx https://t.co/M280Ez5GdX,
266,"After this hurrblizzardicane, the province will have to rename itself Newfoundland Redux, if the snow ever melts, a… https://t.co/6frQGvVY9z",
267,"Thinking of family, friends and emergency responders back home in #Newfoundland today. Stay safe everyone. 💕… https://t.co/RME1LnEoTc",
268,I wonder if they are going to even try and release a radiosonde from Mt. Pearl at 00Z tonight?!😬 In my experience i… https://t.co/FgPNvk9ely,
269,Wow- stay safe everyone in St. John’s!! #stormageddon2020 https://t.co/po62p2fwNr,
270,Oh FFS lol  #nlwx https://t.co/JIYmtIQenQ,
271,Got to thank @DollyParton ! She made me &amp; my dog feel safe &amp; entertained while driving through white-outs from the… https://t.co/p1j2S2Yybr,
272,We're so close #BlackSwan #BadBoysForLife #FridayFeeling #BTSBlackSwan #FridayThoughts #BTSingleToday #BTS #Kpop… https://t.co/rarcgBsiih,
273,Can someone confirm this wind gust. Holy moly! #nlblizzard2020 #nlwhiteout #stormageddon2020 #Newfoundland #nlwx… https://t.co/jfX0GUk7E0,
274,We don’t mess around where weather is concerned #nlwx https://t.co/kl584WS5PJ,
276,"Hey America, my home province is having a bit of winter today. 

Thought you'd like to know. #nlblizzard2020 https://t.co/zKHpNRLpAx",
277,What it looks like snowshoeing home in a blizzard after work: #nlwx https://t.co/x4ZOeXhp6W,
278,#ottawa is “preparing” for a winter storm meanwhile #Newfoundland is like “here - hold my beer” https://t.co/nlb3mTZa2S,
279,Little windy here. #nlwx https://t.co/3A0YATewx5,
280,This is what's happening outside but @NFPower still got the power back on! 🤟 #nlwx #Snowmageddon2020 #nlblizzard2020 https://t.co/A2WXyNVD90,
281,"Just went to dig out a bit and saw this. A snow drift about 10ft high along the house, our kitchen and living room… https://t.co/YsIsPqR422",
